ID	Age	Diet	Cross
533388	8	high	NOD-PWK
533374	8	normal	NOD-PWK
532732	24	high	NOD-PWK
532710	25	normal	NOD-PWK
533386	8	high	NOD-PWK
533372	8	normal	NOD-PWK
532730	24	high	NOD-PWK
532708	25	normal	NOD-PWK
533382	8	high	NOD-PWK
533366	8	normal	NOD-PWK
532728	24	high	NOD-PWK
532706	25	normal	NOD-PWK
533950	8	high	NOD-PWK
533376	8	normal	NOD-PWK
532736	24	high	NOD-PWK
532720	24	normal	NOD-PWK
533378	8	high	NOD-PWK
533362	8	normal	NOD-PWK
532722	24	high	NOD-PWK
532702	25	normal	NOD-PWK
533380	8	high	NOD-PWK
533364	8	normal	NOD-PWK
532724	24	high	NOD-PWK
532704	25	normal	NOD-PWK
533420	8	high	PWK-NOD
533404	8	normal	PWK-NOD
532760	24	high	PWK-NOD
532744	24	normal	PWK-NOD
533416	8	high	PWK-NOD
533400	8	normal	PWK-NOD
532758	24	high	PWK-NOD
532742	24	normal	PWK-NOD
533414	8	high	PWK-NOD
533398	8	normal	PWK-NOD
532756	24	high	PWK-NOD
532738	24	normal	PWK-NOD
533536	8	high	PWK-NOD
533406	8	normal	PWK-NOD
532762	24	high	PWK-NOD
532746	24	normal	PWK-NOD
533408	8	high	PWK-NOD
533392	8	normal	PWK-NOD
532752	24	high	PWK-NOD
532714	25	normal	PWK-NOD
533410	8	high	PWK-NOD
533396	8	normal	PWK-NOD
532754	24	high	PWK-NOD
532716	25	normal	PWK-NOD
